artist,song,Type,Release Year,listener-Gender,listener-Age,likedSong
ABBA,Ahe's My Kind Of Girl,Romantic,2000,F,30's,Yes
ABBA,"Andante, Andante",Romantic,2000,F,30's,Yes
ABBA,As Good As New,Romantic,2000,F,30's,Yes
ABBA,Bang,Romantic,2000,F,30's,Yes
ABBA,Bang-A-Boomerang,Romantic,2000,F,30's,Yes
ABBA,Burning My Bridges,Romantic,2000,F,30's,Yes
ABBA,Cassandra,Rock,2000,F,30's,Yes
ABBA,Chiquitita,Rock,2000,F,30's,Yes
ABBA,Crazy World,Rock,2000,F,30's,Yes
ABBA,Crying Over You,Rock,2000,F,30's,Yes
ABBA,Dance,Jazz,2000,F,30's,Yes
ABBA,Dancing Queen,Rock,2000,F,30's,Yes
ABBA,Disillusion,Romantic,2000,F,30's,Yes
ABBA,Does Your Mother Know,Jazz,2000,F,30's,Yes
ABBA,Dream World,Jazz,2000,F,30's,Yes
ABBA,Dum Dum Diddle,Rock,2000,F,30's,Yes
ABBA,Eagle,Rock,2000,F,30's,Yes
ABBA,Every Good Man,Jazz,2000,F,30's,Yes
ABBA,Fernando,Jazz,2000,F,30's,Yes
ABBA,Fernando (In Spanish),Jazz,2000,F,30's,Yes
ABBA,Free As A Bumble Bee,Ballads,2000,F,30's,Yes
ABBA,From A Twinkling Star To A Passing Angel,Ballads,2000,F,30's,Yes
ABBA,Gimme Gimme Gimme,Ballads,2000,F,30's,Yes
ABBA,Givin' A Little Bit More,Ballads,1999,F,"40's ,50's",Yes
ABBA,Gonna Sing You My Lovesong,Ballads,1999,F,"40's ,50's",Yes
ABBA,Hamlet III,Ballads,1999,F,"40's ,50's",Yes
ABBA,Happy Hawaii,Ballads,1999,F,"40's ,50's",Yes
ABBA,Happy New Year,Ballads,1999,F,"40's ,50's",Yes
ABBA,He Is Your Brother,Ballads,1999,F,"40's ,50's",Yes
ABBA,Head Over Heels,Jazz,1999,F,"40's ,50's",Yes
ABBA,Here We'll Stay,Jazz,1999,F,"40's ,50's",Yes
ABBA,Hey Hey Helen,Jazz,1999,F,"40's ,50's",Yes
ABBA,Hole In Your Soul,Jazz,1999,F,"40's ,50's",Yes
ABBA,"Honey, Honey",Jazz,1999,F,"40's ,50's",Yes
ABBA,I Am Just A Girl,Jazz,1999,F,"40's ,50's",Yes
ABBA,I Am The City,Jazz,1999,F,"40's ,50's",Yes
ABBA,"I Do, I Do, I Do, I Do, I Do",Jazz,1999,F,"40's ,50's",Yes
ABBA,I Have A Dream,Jazz,1999,F,"40's ,50's",Yes
ABBA,I Let The Music Speak,Jazz,1999,F,"40's ,50's",Yes
ABBA,I Saw It In The Mirror,Jazz,2017,F,20's,Yes
ABBA,I Wonder (Departure),Romantic,2017,F,20's,Yes
ABBA,I Wonder (Departure) [Live],Romantic,2017,F,20's,Yes
ABBA,If It Wasn't For The Nights,Romantic,2017,F,20's,Yes
ABBA,I'm A Marionette,Romantic,2017,F,20's,No
ABBA,I've Been Waiting For You,Romantic,2017,F,20's,No
ABBA,Juper Jrouper,Romantic,2017,F,20's,No
ABBA,Just A Notion,Romantic,2017,F,20's,No
ABBA,King Kong Song,Ballads,2017,F,20's,No
ABBA,Kisses Of Fire,Ballads,2017,F,20's,No
ABBA,Knowing Me Knowing You,Ballads,2017,F,20's,No
ABBA,Lay All Your Love On Me,Ballads,2017,F,20's,No
ABBA,Like An Angel Passing Through My Room,Ballads,2017,F,20's,No
ABBA,Love Has It's Ways,Ballads,2017,F,20's,No
ABBA,Love Isn't Easy,Ballads,2017,F,20's,No
ABBA,Lovelight,Ballads,2017,F,20's,No
ABBA,Lovers,Ballads,2017,F,20's,No
ABBA,Mamma Mia,Ballads,2017,F,20's,No
ABBA,Man In The Middle,Ballads,2017,F,20's,No
ABBA,Me And Bobby And Bobby's Brother,Ballads,2017,F,20's,No
ABBA,Me And I,Ballads,2017,F,20's,No
ABBA,Merry-Go-Round,Folk,2017,F,20's,No
ABBA,Midnight Special,Folk,2017,F,20's,No
ABBA,Money Money Money,Folk,2017,F,20's,No
ABBA,Move On,Romantic,2017,F,20's,No
ABBA,"My Love, My Life",Rock,2020,F,20's,No
ABBA,My Mama Said,Rock,2020,F,20's,No
ABBA,"Nina, Pretty Ballerina",Rock,2020,F,20's,No
ABBA,On And On And On,Rock,2020,F,20's,No
ABBA,"One Man, One Woman",Rock,2020,F,20's,No
ABBA,One Of Us,Rock,2020,F,20's,No
ABBA,Our Last Summer,Ballads,2020,F,20's,No
ABBA,People Need Love,Ballads,2020,F,20's,No
ABBA,Pick A Bale Of Cotton,Ballads,2020,F,20's,No
ABBA,Put On Your White Sombrero,Country,2020,F,20's,No
ABBA,Reina Danzante,Country,2020,F,20's,No
